city,county,latitude,longitude,categories,metrics
Mathews,Mathews,37.43750133333333,-76.33457733333333,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""8%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""4,250:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""10%""}, {""label"": ""Adult Obesity %"", ""value"": ""35%""}, {""label"": ""Physical Inactivity %"", ""value"": ""23%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""12%""}, {""label"": ""Unemployment %"", ""value"": ""3.0%""}, {""label"": ""Children in Poverty %"", ""value"": ""15""}, {""label"": ""Life Expectancy"", ""value"": ""76.0""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""8%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""4,250:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""10%""}, {""label"": ""Adult Obesity %"", ""value"": ""35%""}, {""label"": ""Physical Inactivity %"", ""value"": ""23%""}, {""label"": ""Food Insecurity %"", ""value"": ""12%""}, {""label"": ""Unemployment %"", ""value"": ""3.0%""}, {""label"": ""Children in Poverty %"", ""value"": ""15""}, {""label"": ""Life Expectancy"", ""value"": ""76.0""}]"
Mecklenburg,Mecklenburg,36.667693,-78.380989,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""11%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,910:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""14%""}, {""label"": ""Adult Obesity %"", ""value"": ""42%""}, {""label"": ""Physical Inactivity %"", ""value"": ""29%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""15%""}, {""label"": ""Unemployment %"", ""value"": ""3.3%""}, {""label"": ""Children in Poverty %"", ""value"": ""21""}, {""label"": ""Life Expectancy"", ""value"": ""72.6""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""11%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,910:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""14%""}, {""label"": ""Adult Obesity %"", ""value"": ""42%""}, {""label"": ""Physical Inactivity %"", ""value"": ""29%""}, {""label"": ""Food Insecurity %"", ""value"": ""15%""}, {""label"": ""Unemployment %"", ""value"": ""3.3%""}, {""label"": ""Children in Poverty %"", ""value"": ""21""}, {""label"": ""Life Expectancy"", ""value"": ""72.6""}]"
Middlesex,Middlesex,37.60939727272727,-76.52752272727272,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""11%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""2,190:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""11%""}, {""label"": ""Adult Obesity %"", ""value"": ""38%""}, {""label"": ""Physical Inactivity %"", ""value"": ""24%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""12%""}, {""label"": ""Unemployment %"", ""value"": ""2.8%""}, {""label"": ""Children in Poverty %"", ""value"": ""19""}, {""label"": ""Life Expectancy"", ""value"": ""74.3""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""11%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""2,190:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""11%""}, {""label"": ""Adult Obesity %"", ""value"": ""38%""}, {""label"": ""Physical Inactivity %"", ""value"": ""24%""}, {""label"": ""Food Insecurity %"", ""value"": ""12%""}, {""label"": ""Unemployment %"", ""value"": ""2.8%""}, {""label"": ""Children in Poverty %"", ""value"": ""19""}, {""label"": ""Life Expectancy"", ""value"": ""74.3""}]"
Montgomery,Montgomery,37.150031428571424,-80.36079,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""8%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,320:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""11%""}, {""label"": ""Adult Obesity %"", ""value"": ""31%""}, {""label"": ""Physical Inactivity %"", ""value"": ""23%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""14%""}, {""label"": ""Unemployment %"", ""value"": ""3.0%""}, {""label"": ""Children in Poverty %"", ""value"": ""13""}, {""label"": ""Life Expectancy"", ""value"": ""79.2""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""8%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,320:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""11%""}, {""label"": ""Adult Obesity %"", ""value"": ""31%""}, {""label"": ""Physical Inactivity %"", ""value"": ""23%""}, {""label"": ""Food Insecurity %"", ""value"": ""14%""}, {""label"": ""Unemployment %"", ""value"": ""3.0%""}, {""label"": ""Children in Poverty %"", ""value"": ""13""}, {""label"": ""Life Expectancy"", ""value"": ""79.2""}]"
Nelson,Nelson,37.802929166666665,-78.89647000000001,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""11%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,630:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""11%""}, {""label"": ""Adult Obesity %"", ""value"": ""35%""}, {""label"": ""Physical Inactivity %"", ""value"": ""24%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""13%""}, {""label"": ""Unemployment %"", ""value"": ""2.7%""}, {""label"": ""Children in Poverty %"", ""value"": ""18""}, {""label"": ""Life Expectancy"", ""value"": ""77.1""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""11%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,630:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""11%""}, {""label"": ""Adult Obesity %"", ""value"": ""35%""}, {""label"": ""Physical Inactivity %"", ""value"": ""24%""}, {""label"": ""Food Insecurity %"", ""value"": ""13%""}, {""label"": ""Unemployment %"", ""value"": ""2.7%""}, {""label"": ""Children in Poverty %"", ""value"": ""18""}, {""label"": ""Life Expectancy"", ""value"": ""77.1""}]"
New Kent,New Kent,37.49464,-76.996922,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""7%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""3,120:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""10%""}, {""label"": ""Adult Obesity %"", ""value"": ""34%""}, {""label"": ""Physical Inactivity %"", ""value"": ""21%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""8%""}, {""label"": ""Unemployment %"", ""value"": ""2.5%""}, {""label"": ""Children in Poverty %"", ""value"": ""7""}, {""label"": ""Life Expectancy"", ""value"": ""77.4""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""7%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""3,120:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""10%""}, {""label"": ""Adult Obesity %"", ""value"": ""34%""}, {""label"": ""Physical Inactivity %"", ""value"": ""21%""}, {""label"": ""Food Insecurity %"", ""value"": ""8%""}, {""label"": ""Unemployment %"", ""value"": ""2.5%""}, {""label"": ""Children in Poverty %"", ""value"": ""7""}, {""label"": ""Life Expectancy"", ""value"": ""77.4""}]"
Newport News,Newport News,37.09150375,-76.5039575,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""10%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,510:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""13%""}, {""label"": ""Adult Obesity %"", ""value"": ""42%""}, {""label"": ""Physical Inactivity %"", ""value"": ""28%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""15%""}, {""label"": ""Unemployment %"", ""value"": ""3.4%""}, {""label"": ""Children in Poverty %"", ""value"": ""23""}, {""label"": ""Life Expectancy"", ""value"": ""74.7""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""10%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,510:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""13%""}, {""label"": ""Adult Obesity %"", ""value"": ""42%""}, {""label"": ""Physical Inactivity %"", ""value"": ""28%""}, {""label"": ""Food Insecurity %"", ""value"": ""15%""}, {""label"": ""Unemployment %"", ""value"": ""3.4%""}, {""label"": ""Children in Poverty %"", ""value"": ""23""}, {""label"": ""Life Expectancy"", ""value"": ""74.7""}]"
Norfolk,Norfolk,36.888197857142856,-76.27180071428572,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""11%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,000:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""14%""}, {""label"": ""Adult Obesity %"", ""value"": ""42%""}, {""label"": ""Physical Inactivity %"", ""value"": ""27%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""15%""}, {""label"": ""Unemployment %"", ""value"": ""3.4%""}, {""label"": ""Children in Poverty %"", ""value"": ""25""}, {""label"": ""Life Expectancy"", ""value"": ""73.4""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""11%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,000:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""14%""}, {""label"": ""Adult Obesity %"", ""value"": ""42%""}, {""label"": ""Physical Inactivity %"", ""value"": ""27%""}, {""label"": ""Food Insecurity %"", ""value"": ""15%""}, {""label"": ""Unemployment %"", ""value"": ""3.4%""}, {""label"": ""Children in Poverty %"", ""value"": ""25""}, {""label"": ""Life Expectancy"", ""value"": ""73.4""}]"
Northampton,Northampton,37.42879727272727,-75.90051272727273,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""11%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""850:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""13%""}, {""label"": ""Adult Obesity %"", ""value"": ""40%""}, {""label"": ""Physical Inactivity %"", ""value"": ""28%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""16%""}, {""label"": ""Unemployment %"", ""value"": ""3.6%""}, {""label"": ""Children in Poverty %"", ""value"": ""27""}, {""label"": ""Life Expectancy"", ""value"": ""74.5""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""11%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""850:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""13%""}, {""label"": ""Adult Obesity %"", ""value"": ""40%""}, {""label"": ""Physical Inactivity %"", ""value"": ""28%""}, {""label"": ""Food Insecurity %"", ""value"": ""16%""}, {""label"": ""Unemployment %"", ""value"": ""3.6%""}, {""label"": ""Children in Poverty %"", ""value"": ""27""}, {""label"": ""Life Expectancy"", ""value"": ""74.5""}]"
Northumberland,Northumberland,37.88307,-76.41336,"{""Healthcare Access"": [{""label"": ""Uninsured Adults %"", ""value"": ""10%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,540:1""}], ""Chronic Disease Burden"": [{""label"": ""Diabetes Prevalence %"", ""value"": ""11%""}, {""label"": ""Adult Obesity %"", ""value"": ""37%""}, {""label"": ""Physical Inactivity %"", ""value"": ""23%""}], ""Social Determinants of Health"": [{""label"": ""Food Insecurity %"", ""value"": ""12%""}, {""label"": ""Unemployment %"", ""value"": ""4.7%""}, {""label"": ""Children in Poverty %"", ""value"": ""23""}, {""label"": ""Life Expectancy"", ""value"": ""75.8""}]}","[{""label"": ""Uninsured Adults %"", ""value"": ""10%""}, {""label"": ""Primary Care Physicians Ratio"", ""value"": ""1,540:1""}, {""label"": ""Diabetes Prevalence %"", ""value"": ""11%""}, {""label"": ""Adult Obesity %"", ""value"": ""37%""}, {""label"": ""Physical Inactivity %"", ""value"": ""23%""}, {""label"": ""Food Insecurity %"", ""value"": ""12%""}, {""label"": ""Unemployment %"", ""value"": ""4.7%""}, {""label"": ""Children in Poverty %"", ""value"": ""23""}, {""label"": ""Life Expectancy"", ""value"": ""75.8""}]"
